sponsor_id,sponsor_name,sponsor_type
S001,National Health Research Council,Federal
S002,Natural Sciences Research Council,Federal
S003,Social Innovation Research Council,Federal
S004,Advanced Technology Agency,Federal
S005,National Science Foundation,Federal
S006,Department of Public Health,Government
S007,Department of Energy and Climate,Government
S008,Ontario Research Fund,Provincial/State
S009,Massachusetts Innovation Fund,Provincial/State
S010,Global Health Foundation,Foundation
S011,Community Wellbeing Trust,Foundation
S012,Future Cities Foundation,Foundation
S013,Education Access Foundation,Foundation
S014,Biomedical Discovery Foundation,Foundation
S015,Civic Data Collaborative,Nonprofit
S016,Urban Resilience Network,Nonprofit
S017,International Research Consortium,International
S018,Global Development Partnership,International
S019,Apex Biotechnologies,Industry
S020,Northstar Analytics,Industry
S021,Vertex Mobility Systems,Industry
S022,Helix Medical Devices,Industry
S023,Internal Strategic Research Fund,Internal
S024,Faculty Seed Grant Program,Internal
S025,Interdisciplinary Catalyst Fund,Internal
