legacy_field,current_field,reporting_field,transformation_rule,validation_rule
PROPOSAL_NO,legacy_proposal_no,proposal_id,Direct mapping,Unique and non-null
PI_ID,researcher_key,investigator_id,Crosswalk legacy PI to researcher key,Must exist in investigator dimension
COLLEGE_TEXT,org_unit_code,college_code,Map college name to organization code,Must exist in college dimension
SPONSOR_NAME,sponsor_id,sponsor_id,Map sponsor name to sponsor master ID,Must exist in sponsor dimension
PROPOSAL_TYPE_CD,proposal_category,proposal_type,Map legacy code to governed label,Approved values only
SUBMIT_DT,submitted_at,submission_date,Parse YYYYMMDD / ISO timestamp to date,Valid date; target equals source date
REQUEST_AMT,requested_total,requested_amount,"TRY_TO_DECIMAL(18,2)",Difference <= $0.01
PROP_STATUS_CD,workflow_status,proposal_status,Map through status crosswalk,Approved reporting status
AWARD_NO,current_award_id,award_id,Preserve source lineage via crosswalk,Unique when populated
AWARD_AMT,obligated_amount,awarded_amount,"TRY_TO_DECIMAL(18,2)",Difference <= $0.01
DECISION_DT,decision_at,decision_date,Parse to date,Not before submission date
AWARD_START_DT,award_start_date,award_start_date,Parse to date,Required for awarded records
AWARD_END_DT,award_end_date,award_end_date,Parse to date,Must be on/after award start
