PROPOSAL_NO,PI_ID,COLLEGE_TEXT,SPONSOR_NAME,PROPOSAL_TYPE_CD,SUBMIT_DT,REQUEST_AMT,PROP_STATUS_CD,AWARD_NO,AWARD_AMT,DECISION_DT,AWARD_START_DT,AWARD_END_DT,EXTRACT_TS
LP-2026-00001,I1051,College of Social Innovation,Global Health Foundation,EQP,20260718,58100.00,REV,,0.00,,,,20260831 235900
LP-2025-00002,I1052,College of Humanities,Vertex Mobility Systems,RES,20251101,571400.00,ACT,LA-2025-00002,437800.00,20260215,20260308,20290307,20260831 235900
LP-2024-00003,I1142,College of Science,Interdisciplinary Catalyst Fund,RES,20241206,142700.00,ACT,LA-2024-00003,97700.00,20250223,20250404,20280403,20260831 235900
LP-2023-00004,I1029,School of Business,Vertex Mobility Systems,EQP,20230707,96200.00,ACT,LA-2023-00004,71300.00,20231126,20240119,20250712,20260831 235900
LP-2023-00005,I1041,School of Law and Public Policy,Biomedical Discovery Foundation,RES,20230519,80500.00,DCL,,0.00,20230807,,,20260831 235900
LP-2023-00006,I1125,School of Business,Natural Sciences Research Council,RES,20230802,389100.00,ACT,LA-2023-00006,362600.00,20231001,20231104,20251103,20260831 235900
LP-2025-00007,I1057,School of Law and Public Policy,Social Innovation Research Council,INT,20250909,40200.00,ACT,LA-2025-00007,38100.00,20251031,20260101,20280101,20260831 235900
LP-2023-00008,I1167,College of Health Sciences,Vertex Mobility Systems,RES,20230516,59800.00,DCL,,0.00,20231012,,,20260831 235900
LP-2023-00009,I1055,College of Health Sciences,Biomedical Discovery Foundation,INT,20230516,34700.00,DCL,,0.00,20230718,,,20260831 235900
LP-2023-00010,I1113,School of Law and Public Policy,National Science Foundation,TRN,20230325,367900.00,ACT,LA-2023-00010,323700.00,20230720,20230816,20250815,20260831 235900
LP-2024-00011,I1159,College of Health Sciences,Northstar Analytics,RES,20240308,402400.00,CLS,LA-2024-00011,318000.00,20240602,20240713,20260104,20260831 235900
LP-2024-00012,I1177,School of Law and Public Policy,Global Health Foundation,INT,20240402,395500.00,DCL,,0.00,20240823,,,20260831 235900
LP-2026-00013,I1113,School of Law and Public Policy,National Science Foundation,RES,20260615,54700.00,DCL,,0.00,20260820,,,20260831 235900
LP-2024-00014,I1031,College of Health Sciences,Future Cities Foundation,FEL,20240426,224400.00,DCL,,0.00,20240806,,,20260831 235900
LP-2025-00015,I1021,School of Business,Interdisciplinary Catalyst Fund,RES,20250430,123800.00,DCL,,0.00,20250824,,,20260831 235900
LP-2024-00016,I1170,College of Engineering,Department of Energy and Climate,RES,20240725,51600.00,DCL,,0.00,20240901,,,20260831 235900
